14:07:39.1720 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 latency next_fit
14:07:39.1721 [INFO] uart5: [virt: 34.28s (+14.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 latency next_fit
14:07:39.1734 [INFO] uart5: [output] Begin synthetic workload!
14:07:39.1735 [INFO] uart5: [virt:  34.28s (+0.2ms)] Begin synthetic workload!
14:07:39.1851 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 427478, 'allocation': true}
14:07:39.2262 [INFO] uart5: [virt:   34.3s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 8704, 'obj-in-use': 2, 'instruction count': 4197, 'allocation': false}
14:07:39.2312 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 151704, 'allocation': false}
14:07:39.2312 [INFO] uart5: [virt:   34.3s (+2.1ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 151704, 'allocation': false}
14:07:39.2374 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2514, 'allocation': false}
14:07:39.2375 [INFO] uart5: [virt:   34.3s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2514, 'allocation': false}
14:07:39.2421 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 21324, 'allocation': true}
14:07:39.2421 [INFO] uart5: [virt:   34.3s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 21324, 'allocation': true}
14:07:39.2478 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 1634, 'allocation': true}
14:07:39.2479 [INFO] uart5: [virt:   34.3s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 1634, 'allocation': true}
14:07:39.2514 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 3003, 'allocation': false}
14:07:39.2514 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 3003, 'allocation': false}
14:07:39.2575 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 37936, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 48, 'obj-in-use': 2, 'instruction count': 1628, 'allocation': true}
14:07:39.2576 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 37936, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 48, 'obj-in-use': 2, 'instruction count': 1628, 'allocation': true}
14:07:39.2610 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 38960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1072, 'obj-in-use': 3, 'instruction count': 1555, 'allocation': true}
14:07:39.2611 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 38960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1072, 'obj-in-use': 3, 'instruction count': 1555, 'allocation': true}
14:07:39.2686 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 38976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1088, 'obj-in-use': 4, 'instruction count': 1602, 'allocation': true}
14:07:39.2687 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 38976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1088, 'obj-in-use': 4, 'instruction count': 1602, 'allocation': true}
14:07:39.2725 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 39232, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1344, 'obj-in-use': 5, 'instruction count': 1555, 'allocation': true}
14:07:39.2726 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 39232, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 1344, 'obj-in-use': 5, 'instruction count': 1555, 'allocation': true}
14:07:39.2765 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 43328, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 5440, 'obj-in-use': 6, 'instruction count': 1593, 'allocation': true}
14:07:39.2766 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 43328, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 5440, 'obj-in-use': 6, 'instruction count': 1593, 'allocation': true}
14:07:39.2839 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84288, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46400, 'obj-in-use': 16, 'instruction count': 2225, 'allocation': true}
14:07:39.2840 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84288, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46400, 'obj-in-use': 16, 'instruction count': 2225, 'allocation': true}
14:07:39.2882 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84416, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46528, 'obj-in-use': 17, 'instruction count': 1642, 'allocation': true}
14:07:39.2883 [INFO] uart5: [virt:  34.31s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84416, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46528, 'obj-in-use': 17, 'instruction count': 1642, 'allocation': true}
14:07:39.2963 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 47040, 'obj-in-use': 18, 'instruction count': 1636, 'allocation': true}
14:07:39.2964 [INFO] uart5: [virt:  34.31s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 47040, 'obj-in-use': 18, 'instruction count': 1636, 'allocation': true}
14:07:39.3004 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46016, 'obj-in-use': 17, 'instruction count': 1395, 'allocation': false}
14:07:39.3004 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46016, 'obj-in-use': 17, 'instruction count': 1395, 'allocation': false}
14:07:39.3077 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45504, 'obj-in-use': 16, 'instruction count': 3003, 'allocation': false}
14:07:39.3078 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45504, 'obj-in-use': 16, 'instruction count': 3003, 'allocation': false}
14:07:39.3139 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41408, 'obj-in-use': 15, 'instruction count': 1577, 'allocation': false}
14:07:39.3141 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84928, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41408, 'obj-in-use': 15, 'instruction count': 1577, 'allocation': false}
14:07:39.3245 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41440, 'obj-in-use': 16, 'instruction count': 1631, 'allocation': true}
14:07:39.3247 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41440, 'obj-in-use': 16, 'instruction count': 1631, 'allocation': true}
14:07:39.3319 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 84976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 17, 'instruction count': 1602, 'allocation': true}
14:07:39.3320 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 84976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 17, 'instruction count': 1602, 'allocation': true}
14:07:39.3421 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 85008, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41488, 'obj-in-use': 18, 'instruction count': 1616, 'allocation': true}
14:07:39.3423 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 85008, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41488, 'obj-in-use': 18, 'instruction count': 1616, 'allocation': true}
14:07:39.3529 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42512, 'obj-in-use': 19, 'instruction count': 1557, 'allocation': true}
14:07:39.3531 [INFO] uart5: [virt:  34.31s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42512, 'obj-in-use': 19, 'instruction count': 1557, 'allocation': true}
14:07:39.3590 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42384, 'obj-in-use': 18, 'instruction count': 4425, 'allocation': false}
14:07:39.3614 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42384, 'obj-in-use': 18, 'instruction count': 4425, 'allocation': false}
14:07:39.3705 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42368, 'obj-in-use': 17, 'instruction count': 1511, 'allocation': false}
14:07:39.3706 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 86032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 42368, 'obj-in-use': 17, 'instruction count': 1511, 'allocation': false}
14:07:39.3763 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110608, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66944, 'obj-in-use': 23, 'instruction count': 1941, 'allocation': true}
14:07:39.3764 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110608, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66944, 'obj-in-use': 23, 'instruction count': 1941, 'allocation': true}
14:07:39.3866 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66976, 'obj-in-use': 24, 'instruction count': 1655, 'allocation': true}
14:07:39.3867 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66976, 'obj-in-use': 24, 'instruction count': 1655, 'allocation': true}
14:07:39.3993 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66944, 'obj-in-use': 23, 'instruction count': 1386, 'allocation': false}
14:07:39.3994 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 66944, 'obj-in-use': 23, 'instruction count': 1386, 'allocation': false}
14:07:39.4096 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 65920, 'obj-in-use': 22, 'instruction count': 1391, 'allocation': false}
14:07:39.4096 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 65920, 'obj-in-use': 22, 'instruction count': 1391, 'allocation': false}
14:07:39.4183 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24960, 'obj-in-use': 12, 'instruction count': 13911, 'allocation': false}
14:07:39.4184 [INFO] uart5: [virt:  34.32s (+0.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110640, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24960, 'obj-in-use': 12, 'instruction count': 13911, 'allocation': false}
14:07:39.4284 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110656, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24976, 'obj-in-use': 13, 'instruction count': 1555, 'allocation': true}
14:07:39.4286 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110656, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24976, 'obj-in-use': 13, 'instruction count': 1555, 'allocation': true}
14:07:39.4341 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110656, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24960, 'obj-in-use': 12, 'instruction count': 1415, 'allocation': false}
14:07:39.4342 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110656, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24960, 'obj-in-use': 12, 'instruction count': 1415, 'allocation': false}
14:07:39.4435 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 110672, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24976, 'obj-in-use': 13, 'instruction count': 1602, 'allocation': true}
14:07:39.4436 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 110672, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 24976, 'obj-in-use': 13, 'instruction count': 1602, 'allocation': true}
14:07:39.4495 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 114768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29072, 'obj-in-use': 14, 'instruction count': 1593, 'allocation': true}
14:07:39.4496 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 114768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29072, 'obj-in-use': 14, 'instruction count': 1593, 'allocation': true}
14:07:39.4587 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 114768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29040, 'obj-in-use': 13, 'instruction count': 1534, 'allocation': false}
14:07:39.4588 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 114768, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29040, 'obj-in-use': 13, 'instruction count': 1534, 'allocation': false}
14:07:39.4641 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 115024, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29296, 'obj-in-use': 14, 'instruction count': 1567, 'allocation': true}
14:07:39.4642 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 115024, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29296, 'obj-in-use': 14, 'instruction count': 1567, 'allocation': true}
14:07:39.4735 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 115088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29360, 'obj-in-use': 15, 'instruction count': 1555, 'allocation': true}
14:07:39.4736 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 115088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 29360, 'obj-in-use': 15, 'instruction count': 1555, 'allocation': true}
14:07:39.4792 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 119184, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33456, 'obj-in-use': 16, 'instruction count': 1593, 'allocation': true}
14:07:39.4793 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 119184, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33456, 'obj-in-use': 16, 'instruction count': 1593, 'allocation': true}
14:07:39.4874 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 127376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41648, 'obj-in-use': 18, 'instruction count': 1681, 'allocation': true}
14:07:39.4875 [INFO] uart5: [virt:  34.32s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 127376, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41648, 'obj-in-use': 18, 'instruction count': 1681, 'allocation': true}
14:07:39.4965 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 127392, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41664, 'obj-in-use': 19, 'instruction count': 1654, 'allocation': true}
14:07:39.4966 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 127392, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41664, 'obj-in-use': 19, 'instruction count': 1654, 'allocation': true}
14:07:39.5050 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 131488, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45760, 'obj-in-use': 20, 'instruction count': 1593, 'allocation': true}
14:07:39.5051 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 131488, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45760, 'obj-in-use': 20, 'instruction count': 1593, 'allocation': true}
14:07:39.5133 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 131520, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45792, 'obj-in-use': 21, 'instruction count': 1641, 'allocation': true}
14:07:39.5134 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 131520, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 45792, 'obj-in-use': 21, 'instruction count': 1641, 'allocation': true}
14:07:39.5251 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46304, 'obj-in-use': 22, 'instruction count': 1634, 'allocation': true}
14:07:39.5252 [INFO] uart5: [virt:  34.33s (+0.5ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132032, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 46304, 'obj-in-use': 22, 'instruction count': 1634, 'allocation': true}
14:07:39.5369 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 136128, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 50400, 'obj-in-use': 23, 'instruction count': 1593, 'allocation': true}
14:07:39.5370 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 136128, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 50400, 'obj-in-use': 23, 'instruction count': 1593, 'allocation': true}
14:07:39.5453 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 177088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91360, 'obj-in-use': 33, 'instruction count': 2225, 'allocation': true}
14:07:39.5454 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 177088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91360, 'obj-in-use': 33, 'instruction count': 2225, 'allocation': true}
14:07:39.5576 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 177088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91328, 'obj-in-use': 32, 'instruction count': 2267, 'allocation': false}
14:07:39.5578 [INFO] uart5: [virt:  34.33s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 177088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91328, 'obj-in-use': 32, 'instruction count': 2267, 'allocation': false}
14:07:39.5670 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 177104, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91344, 'obj-in-use': 33, 'instruction count': 1628, 'allocation': true}
14:07:39.5670 [INFO] uart5: [virt:  34.33s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 177104, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91344, 'obj-in-use': 33, 'instruction count': 1628, 'allocation': true}
14:07:39.5759 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 177104, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 91328, 'obj-in-use': 32, 'instruction count': 1525, 'allocation': false}
