11:14:10.6901 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency next_fit
11:14:10.6902 [INFO] uart5: [virt: 24.21s (+17.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 latency next_fit
11:14:10.6915 [INFO] uart5: [output] Begin synthetic workload!
11:14:10.6916 [INFO] uart5: [virt:  24.21s (+0.2ms)] Begin synthetic workload!
11:14:10.7021 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16384, 'obj-in-use': 1, 'instruction count': 424541, 'allocation': true}
11:14:10.7354 [INFO] uart5: [virt:  24.22s (+1.9ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 151764, 'allocation': false}
11:14:10.7377 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2519, 'allocation': false}
11:14:10.7377 [INFO] uart5: [virt:  24.22s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2519, 'allocation': false}
11:14:10.7421 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 24304, 'allocation': true}
11:14:10.7423 [INFO] uart5: [virt:  24.22s (+0.7ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 24304, 'allocation': true}
11:14:10.7476 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 1632, 'allocation': true}
11:14:10.7477 [INFO] uart5: [virt:  24.22s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 544, 'obj-in-use': 2, 'instruction count': 1632, 'allocation': true}
11:14:10.7502 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 3008, 'allocation': false}
11:14:10.7503 [INFO] uart5: [virt:  24.23s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 3008, 'allocation': false}
11:14:10.7575 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1279, 'allocation': false}
11:14:10.7576 [INFO] uart5: [virt:  24.23s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1279, 'allocation': false}
11:14:10.7605 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 2313, 'allocation': true}
11:14:10.7606 [INFO] uart5: [virt:  24.23s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 2313, 'allocation': true}
11:14:10.7667 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1276, 'allocation': false}
11:14:10.7668 [INFO] uart5: [virt:  24.23s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1276, 'allocation': false}
11:14:10.7753 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1669, 'allocation': true}
11:14:10.7753 [INFO] uart5: [virt: 24.24s (+10.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1669, 'allocation': true}
11:14:10.7828 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 2, 'instruction count': 1626, 'allocation': true}
11:14:10.7829 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 2, 'instruction count': 1626, 'allocation': true}
11:14:10.7875 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1440, 'allocation': false}
11:14:10.7907 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1440, 'allocation': false}
11:14:10.7945 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4112, 'obj-in-use': 2, 'instruction count': 1591, 'allocation': true}
11:14:10.7946 [INFO] uart5: [virt:  24.24s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4112, 'obj-in-use': 2, 'instruction count': 1591, 'allocation': true}
11:14:10.7984 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 1382, 'allocation': false}
11:14:10.7985 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 1382, 'allocation': false}
11:14:10.8054 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4608, 'obj-in-use': 2, 'instruction count': 1644, 'allocation': true}
11:14:10.8055 [INFO] uart5: [virt:  24.24s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4608, 'obj-in-use': 2, 'instruction count': 1644, 'allocation': true}
11:14:10.8094 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 3008, 'allocation': false}
11:14:10.8095 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 3008, 'allocation': false}
11:14:10.8134 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1286, 'allocation': false}
11:14:10.8135 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1286, 'allocation': false}
11:14:10.8206 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 24576, 'obj-in-use': 6, 'instruction count': 8806, 'allocation': true}
11:14:10.8207 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 24576, 'obj-in-use': 6, 'instruction count': 8806, 'allocation': true}
11:14:10.8249 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 25600, 'obj-in-use': 7, 'instruction count': 2368, 'allocation': true}
11:14:10.8251 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 25600, 'obj-in-use': 7, 'instruction count': 2368, 'allocation': true}
11:14:10.8325 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 25616, 'obj-in-use': 8, 'instruction count': 1630, 'allocation': true}
11:14:10.8326 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 25616, 'obj-in-use': 8, 'instruction count': 1630, 'allocation': true}
11:14:10.8370 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1040, 'obj-in-use': 2, 'instruction count': 7587, 'allocation': false}
11:14:10.8371 [INFO] uart5: [virt:  24.24s (+0.6ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1040, 'obj-in-use': 2, 'instruction count': 7587, 'allocation': false}
11:14:10.8412 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 2064, 'obj-in-use': 3, 'instruction count': 1553, 'allocation': true}
11:14:10.8413 [INFO] uart5: [virt:  24.24s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 2064, 'obj-in-use': 3, 'instruction count': 1553, 'allocation': true}
11:14:10.8486 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 2048, 'obj-in-use': 2, 'instruction count': 1438, 'allocation': false}
11:14:10.8487 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 2048, 'obj-in-use': 2, 'instruction count': 1438, 'allocation': false}
11:14:10.8529 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1024, 'obj-in-use': 1, 'instruction count': 1294, 'allocation': false}
11:14:10.8530 [INFO] uart5: [virt:  24.24s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1024, 'obj-in-use': 1, 'instruction count': 1294, 'allocation': false}
11:14:10.8604 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1251, 'allocation': false}
11:14:10.8605 [INFO] uart5: [virt:  24.24s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1251, 'allocation': false}
11:14:10.8646 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 128, 'obj-in-use': 1, 'instruction count': 23781, 'allocation': true}
11:14:10.8646 [INFO] uart5: [virt:  24.25s (+0.7ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 128, 'obj-in-use': 1, 'instruction count': 23781, 'allocation': true}
11:14:10.8677 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 3273, 'allocation': false}
11:14:10.8678 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 3273, 'allocation': false}
11:14:10.8731 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1622, 'allocation': true}
11:14:10.8732 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1622, 'allocation': true}
11:14:10.8769 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1251, 'allocation': false}
11:14:10.8770 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1251, 'allocation': false}
11:14:10.8827 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1669, 'allocation': true}
11:14:10.8828 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1669, 'allocation': true}
11:14:10.8865 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1256, 'allocation': false}
11:14:10.8866 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1256, 'allocation': false}
11:14:10.8923 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1695, 'allocation': true}
11:14:10.8924 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1695, 'allocation': true}
11:14:10.8961 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1276, 'allocation': false}
11:14:10.8962 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1276, 'allocation': false}
11:14:10.9025 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1024, 'obj-in-use': 1, 'instruction count': 2411, 'allocation': true}
11:14:10.9026 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 1024, 'obj-in-use': 1, 'instruction count': 2411, 'allocation': true}
11:14:10.9060 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1289, 'allocation': false}
11:14:10.9060 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1289, 'allocation': false}
11:14:10.9094 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32768, 'obj-in-use': 8, 'instruction count': 2762, 'allocation': true}
11:14:10.9094 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32768, 'obj-in-use': 8, 'instruction count': 2762, 'allocation': true}
11:14:10.9156 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 1658, 'allocation': true}
11:14:10.9156 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 1658, 'allocation': true}
11:14:10.9189 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33312, 'obj-in-use': 10, 'instruction count': 1553, 'allocation': true}
11:14:10.9190 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33312, 'obj-in-use': 10, 'instruction count': 1553, 'allocation': true}
11:14:10.9223 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33328, 'obj-in-use': 11, 'instruction count': 1626, 'allocation': true}
11:14:10.9224 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33328, 'obj-in-use': 11, 'instruction count': 1626, 'allocation': true}
11:14:10.9283 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37424, 'obj-in-use': 12, 'instruction count': 1591, 'allocation': true}
11:14:10.9284 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37424, 'obj-in-use': 12, 'instruction count': 1591, 'allocation': true}
11:14:10.9321 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37456, 'obj-in-use': 13, 'instruction count': 1639, 'allocation': true}
11:14:10.9322 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37456, 'obj-in-use': 13, 'instruction count': 1639, 'allocation': true}
11:14:10.9356 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37968, 'obj-in-use': 14, 'instruction count': 1632, 'allocation': true}
11:14:10.9357 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37968, 'obj-in-use': 14, 'instruction count': 1632, 'allocation': true}
11:14:10.9433 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37952, 'obj-in-use': 13, 'instruction count': 1550, 'allocation': false}
11:14:10.9434 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37952, 'obj-in-use': 13, 'instruction count': 1550, 'allocation': false}
11:14:10.9472 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37968, 'obj-in-use': 14, 'instruction count': 1626, 'allocation': true}
11:14:10.9472 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37968, 'obj-in-use': 14, 'instruction count': 1626, 'allocation': true}
11:14:10.9547 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 42064, 'obj-in-use': 15, 'instruction count': 1591, 'allocation': true}
11:14:10.9549 [INFO] uart5: [virt:  24.25s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 42064, 'obj-in-use': 15, 'instruction count': 1591, 'allocation': true}
11:14:10.9632 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 42032, 'obj-in-use': 14, 'instruction count': 1414, 'allocation': false}
11:14:10.9633 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 42032, 'obj-in-use': 14, 'instruction count': 1414, 'allocation': false}
11:14:10.9670 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37936, 'obj-in-use': 13, 'instruction count': 1464, 'allocation': false}
11:14:10.9670 [INFO] uart5: [virt:  24.25s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37936, 'obj-in-use': 13, 'instruction count': 1464, 'allocation': false}
11:14:10.9707 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37952, 'obj-in-use': 14, 'instruction count': 1626, 'allocation': true}
11:14:10.9707 [INFO] uart5: [virt:  24.26s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37952, 'obj-in-use': 14, 'instruction count': 1626, 'allocation': true}
11:14:10.9769 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37936, 'obj-in-use': 13, 'instruction count': 1546, 'allocation': false}
11:14:10.9770 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37936, 'obj-in-use': 13, 'instruction count': 1546, 'allocation': false}
11:14:10.9813 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37904, 'obj-in-use': 12, 'instruction count': 1539, 'allocation': false}
11:14:10.9814 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 37904, 'obj-in-use': 12, 'instruction count': 1539, 'allocation': false}
11:14:10.9894 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33808, 'obj-in-use': 11, 'instruction count': 1560, 'allocation': false}
11:14:10.9895 [INFO] uart5: [virt:  24.26s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33808, 'obj-in-use': 11, 'instruction count': 1560, 'allocation': false}
11:14:10.9963 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33296, 'obj-in-use': 10, 'instruction count': 3351, 'allocation': false}
11:14:10.9964 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33296, 'obj-in-use': 10, 'instruction count': 3351, 'allocation': false}
11:14:11.0025 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 1440, 'allocation': false}
11:14:11.0026 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 1440, 'allocation': false}
11:14:11.0100 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33792, 'obj-in-use': 10, 'instruction count': 1632, 'allocation': true}
11:14:11.0101 [INFO] uart5: [virt:  24.26s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33792, 'obj-in-use': 10, 'instruction count': 1632, 'allocation': true}
11:14:11.0169 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 3351, 'allocation': false}
11:14:11.0170 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 33280, 'obj-in-use': 9, 'instruction count': 3351, 'allocation': false}
11:14:11.0236 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32768, 'obj-in-use': 8, 'instruction count': 3008, 'allocation': false}
11:14:11.0236 [INFO] uart5: [virt:  24.26s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32768, 'obj-in-use': 8, 'instruction count': 3008, 'allocation': false}
11:14:11.0394 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 9953, 'allocation': false}
11:14:11.0395 [INFO] uart5: [virt: 24.27s (+10.6ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 9953, 'allocation': false}
11:14:11.0477 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 41983, 'allocation': true}
11:14:11.0478 [INFO] uart5: [virt:  24.27s (+0.8ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 512, 'obj-in-use': 1, 'instruction count': 41983, 'allocation': true}
11:14:11.0540 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2574, 'allocation': false}
11:14:11.0563 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 2574, 'allocation': false}
11:14:11.0618 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 1902, 'allocation': true}
11:14:11.0619 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 1902, 'allocation': true}
11:14:11.0708 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1279, 'allocation': false}
11:14:11.0709 [INFO] uart5: [virt:  24.27s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1279, 'allocation': false}
11:14:11.0767 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1622, 'allocation': true}
11:14:11.0768 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 16, 'obj-in-use': 1, 'instruction count': 1622, 'allocation': true}
11:14:11.0858 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4112, 'obj-in-use': 2, 'instruction count': 1591, 'allocation': true}
11:14:11.0859 [INFO] uart5: [virt:  24.27s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4112, 'obj-in-use': 2, 'instruction count': 1591, 'allocation': true}
11:14:11.0918 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 1362, 'allocation': false}
11:14:11.0920 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 4096, 'obj-in-use': 1, 'instruction count': 1362, 'allocation': false}
11:14:11.0997 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1286, 'allocation': false}
11:14:11.0998 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1286, 'allocation': false}
11:14:11.1042 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 256, 'obj-in-use': 1, 'instruction count': 8069, 'allocation': true}
11:14:11.1043 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 256, 'obj-in-use': 1, 'instruction count': 8069, 'allocation': true}
11:14:11.1126 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 5241, 'allocation': false}
11:14:11.1127 [INFO] uart5: [virt:  24.27s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 5241, 'allocation': false}
11:14:11.1216 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 1683, 'allocation': true}
11:14:11.1217 [INFO] uart5: [virt:  24.28s (+0.4ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 32, 'obj-in-use': 1, 'instruction count': 1683, 'allocation': true}
11:14:11.1315 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1797, 'allocation': false}
11:14:11.1316 [INFO] uart5: [virt:  24.28s (+0.5ms)] cantrip_memory_manager::memory_manager::'{'bytes in-use': 0, 'obj-in-use': 0, 'instruction count': 1797, 'allocation': false}
